run_id,policy,valid,started_at,runtime_s,workers,samples_per_worker,total_samples,base_seed,pi_estimate,scientific_ok,pod_energy_j,pod_energy_kwh,pod_avg_w,pod_w_mean,pod_w_median,node_total_energy_j,node_active_energy_j,node_idle_energy_j,node_total_w_mean,node_total_w_median,node_active_w_mean,node_active_w_median,cpu_ratio_mean,cpu_ratio_median,node_counter_resets,recommended_samples,image_id,blocking_conditions,warnings,path,energy_per_billion_samples_j,samples_per_second,attribution_share_active
calibration-01,calibration,True,2026-07-14 08:03:19+00:00,929.315468619985,16,3150000000,50400000000,20260713,3.1415938055555555,True,42413.381665,0.011781494906944445,45.63937984157632,45.12767162923452,45.86994119615166,168637.6282790001,43398.389756000004,127015.38789699972,182.29018813864639,183.1283292415881,46.19078842453176,46.93546599324207,0.252606221140019,0.25643403011869936,1,3050632531,docker.io/library/python@sha256:64695412729fbe8cf054511723820c82bbe5a077d4a6b4070cd4a7225d3422ce,,la consulta node_power_supply no devolvió series,/Users/saur/Documents/CERN/green/kubernetes/experiment-01/trials/calibration-01,841.5353504960317,54233467.21522132,0.9773031189281897
smoke-runner-02,calibration,True,2026-07-14 07:46:21+00:00,28.435640459007118,16,100000000,1600000000,20260713,3.14159542,True,1017.085119,0.00028252364416666664,35.767969441948466,32.97512484535622,32.97512484535622,4957.890316999998,980.0870270000014,3977.8032900001854,181.12337869029412,181.12337869029412,33.919901366627464,33.919901366627464,0.1875299306138207,0.1875299306138207,0,3165042128,docker.io/library/python@sha256:64695412729fbe8cf054511723820c82bbe5a077d4a6b4070cd4a7225d3422ce,,la consulta node_power_supply no devolvió series,/Users/saur/Documents/CERN/green/kubernetes/experiment-01/trials/smoke-runner-02,635.678199375,56267415.6155042,1.0377498028039898
