series,samples,observed_span_s,integrated_energy_j,mean_w,median_w,p95_w,run_id,kind
Node active,91,900.0,676.207442361229,0.7510395687349697,0.7354851470765374,0.9344816571075731,20260713T152539Z,idle
Node idle,91,900.0,91256.88232535202,101.40665773320094,101.12571755410092,103.99314656811939,20260713T152539Z,idle
Node total,91,900.0,91933.08976771327,102.15769730193593,101.91066809078048,104.74253514585115,20260713T152539Z,idle
Monte Carlo pod,93,920.0,41873.301369272485,45.12767162923452,45.86994119615166,46.36216927389955,calibration-01,trial
Node active,93,920.0,42849.38560040731,46.19078842453176,46.93546599324207,47.325936453122544,calibration-01,trial
Node idle,93,920.0,125198.4727648663,136.09939971411464,136.116800642462,136.71410807902657,calibration-01,trial
Node total,93,920.0,168047.85836527363,182.29018813864636,183.1283292415881,183.7556593857957,calibration-01,trial
