query,metric,timestamp_utc,timestamp_unix,value,zone,path,namespace,pod_namespace,pod,pod_name,container,device,mode,cpu,labels_json
kepler_node,kepler_node_cpu_active_watts,2026-07-13T15:15:48.456000Z,1783955748.456,0.6686245342218021,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_active_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_active_watts,2026-07-13T15:15:58.456000Z,1783955758.456,0.9153523166161921,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_active_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_joules_total,2026-07-13T15:15:38.456000Z,1783955738.456,10293.50875,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_joules_total,2026-07-13T15:15:48.456000Z,1783955748.456,10293.952362,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_joules_total,2026-07-13T15:15:58.456000Z,1783955758.456,10294.424516,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_joules_total,2026-07-13T15:15:38.456000Z,1783955738.456,1117478.469061,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_joules_total,2026-07-13T15:15:48.456000Z,1783955748.456,1118593.076943,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_joules_total,2026-07-13T15:15:58.456000Z,1783955758.456,1119607.284756,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_watts,2026-07-13T15:15:38.456000Z,1783955738.456,0.03960178803273001,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_watts,2026-07-13T15:15:48.456000Z,1783955748.456,0.040563251446632274,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
